,Transaction_date,Name,Gender,Email,City,Product_id,Amount_spent
0,2021-03-24,Univ.Prof. Arnim Lübs B.Sc.,F,uhenk@googlemail.com,Aachen,90298004,68.26
1,2021-08-04,Herr Frieder Gorlitz,F,halbers@bruder.com,Mainburg,04081906,69.39
2,2021-06-22,Czeslaw Mans,M,rustzenon@yahoo.de,Lübz,74519705,58.23
3,2021-03-04,Christiane Heuser,M,charlottehiller@gmail.com,Badalzungen,86032292,28.33
4,2021-07-22,Ing. Gunda Jacobi Jäckel B.Eng.,M,xbarkholz@becker.com,Naila,59211815,80.32
5,2021-08-09,Ilja Scholl,F,kunigunde85@gmx.de,Mettmann,43926862,22.59
6,2021-07-03,Jasmina Mitschke,F,salihernst@googlemail.com,Aachen,78609211,72.83
7,2021-07-20,Margarethe Ehlert,F,tomasgiess@yahoo.de,Kamenz,57258072,59.46
8,2021-04-29,Prof. Brunhilde Zahn,F,baumgabi@aol.de,Jessen,79176392,94.27
9,2021-04-23,Univ.Prof. Georg Fritsch B.A.,F,ladeckkaterina@ortmann.de,Marktheidenfeld,44242558,57.72
10,2021-02-01,Univ.Prof. Cetin Höfig,F,salzildiko@siering.com,Stuttgart,83007521,57.79
11,2021-01-07,Kunigunde Trommler,M,uwohlgemut@rogge.de,Waren,24007238,89.17
12,2021-04-28,Carin Neuschäfer B.Eng.,M,butteeberhard@van.de,Lörrach,66767428,81.6
13,2021-06-08,Tadeusz Bähr,F,hassan28@warmer.org,Cloppenburg,80452188,62.21
14,2021-04-07,Svetlana Martin,M,gierschnersandor@birnbaum.net,Darmstadt,82287740,20.8
15,2021-02-02,Jonas Martin,F,melitagunpf@hotmail.de,Erbisdorf,70002881,26.44
16,2021-07-31,Dominic Girschner MBA.,F,obohlander@wilmsen.de,Schwarzenberg,39509291,6.5
17,2021-01-13,Enver Stroh,M,haufferalfredo@gmail.com,Bad Mergentheim,69875670,63.78
18,2021-01-15,Prof. Isolde Werner B.Eng.,M,ignaz30@web.de,Olpe,39083166,26.46
19,2021-03-27,Gitte Ernst-Trub,F,hoelzenbechersami@web.de,Greiz,02646718,96.5
20,2021-01-10,Wera Klotz,F,lmoechlichen@van.de,Mayen,39136435,41.81
21,2021-03-25,Dennis Hartung,M,xscholtz@googlemail.com,Coburg,87096156,55.55
22,2021-01-06,Dr. Sami Klemm,F,lissischmidt@giess.net,Backnang,35540298,97.6
23,2021-06-22,Frank-Peter Zobel,M,konstantinoshuebel@googlemail.com,Neu-Ulm,67809189,12.24
24,2021-07-02,Ing. Aziz Jüttner B.Sc.,F,rbluemel@googlemail.com,Bremervörde,57648941,39.67
25,2021-03-27,Gundi Weller,F,ellyroehrdanz@weller.com,Wittenberg,05429882,34.6
26,2021-05-12,Henriette Trapp-Stumpf,F,textorhans-wilhelm@gmail.com,Coburg,42159735,47.73
27,2021-06-09,Aleksandr Knappe,F,dominic12@scholtz.de,Gräfenhainichen,51023645,47.64
28,2021-04-22,Marliese Mende,M,margrafdorina@googlemail.com,Husum,87730982,38.12
29,2021-08-01,Monja Buchholz,M,madeleinebeckmann@lange.de,Bad Kreuznach,64959689,19.69
30,2021-04-10,Ernest Scholl,F,roskothemilie@gmx.de,Recklinghausen,71541563,51.53
31,2021-04-07,Hans-Erich Junk,F,dklingelhoefer@scholz.com,Plauen,17663687,66.64
32,2021-02-07,Antoinette Pieper B.Sc.,M,albina28@web.de,Holzminden,89459812,71.56
33,2021-07-17,Lotti Stahr MBA.,M,hans-adolfschaefer@wulf.com,Cottbus,59557821,68.78
34,2021-01-08,Rahel Bonbach B.Sc.,M,kay-uwe87@hotmail.de,Ansbach,59000105,54.63
35,2021-01-29,Tillmann Beier-Wagner,F,binnerhasan@conradi.de,Herzberg,71278247,95.2
36,2021-02-17,Alicia Nohlmans B.A.,M,otmarwernecke@gmail.com,Sankt Goar,57575933,16.9
37,2021-05-08,Prof. Robert Stoll,F,jgehringer@aol.de,Gelnhausen,85493483,98.0
38,2021-04-18,Kristian Schmiedecke,F,ulrike42@aol.de,Erkelenz,64048765,74.52
39,2021-05-23,Klaus-Werner Eberth B.Eng.,F,doehnthorben@gmx.de,Reutlingen,30722934,33.19
40,2021-01-29,Reinhilde Thies,M,xgrein-groth@gmail.com,Schwäbisch Hall,56672701,94.15
41,2021-07-30,Xenia Adolph-Gieß,F,rbeyer@googlemail.com,Olpe,53428431,20.11
42,2021-03-28,Frau Yasmin Seidel,F,doeringlilian@hotmail.de,Schwerin,44022242,18.8
43,2021-02-21,Dr. Iwan Zirme B.Eng.,M,baumremo@scheel.com,Brilon,35466246,16.48
44,2021-06-29,Cetin Schuchhardt,F,francescathanel@wulff.org,Bayreuth,57893075,28.19
45,2021-06-28,Hans-Gerd Noack,M,margaret13@fechner.com,Dachau,32189049,69.66
46,2021-01-20,Maja Bolnbach,F,kstahr@aol.de,Viersen,94915716,80.67
47,2021-03-19,Othmar Heuser,F,hildagotthard@hotmail.de,Heinsberg,37196202,21.51
48,2021-04-10,Reinhart Gute,F,julianjohann@krein.org,Beilngries,04904410,76.12
49,2021-02-05,Miroslaw Ullrich,M,falkokostolzin@gutknecht.org,Hettstedt,50548002,12.28
50,2021-07-20,Sieglinde Eckbauer,F,briemermichel@bien.com,Starnberg,73687634,74.92
51,2021-04-15,Wojciech Klotz,F,dinosauer@hotmail.de,Groß-Gerau,00946391,83.7
52,2021-06-22,Ortrud Loos-Killer,F,margittabecker@hotmail.de,Hamburg,39235947,94.45
53,2021-05-14,Herr Antonios Jessel MBA.,F,kreinkorinna@martin.de,Donaueschingen,17925051,76.45
54,2021-04-16,Prof. Goran Langern B.Eng.,M,romanzirme@web.de,Torgau,27438077,15.13
55,2021-03-28,Gabi Höfig,F,leonardo65@gmx.de,Waren,39876874,82.78
56,2021-07-21,Hanife Dippel,M,zeljko15@dussen.de,Vohenstrauß,51703202,30.8
57,2021-04-13,Marie Becker,F,elsabenthin@tintzmann.de,Perleberg,07068942,84.7
58,2021-05-09,Ing. Alexandre Trub MBA.,M,geissleraugusta@kallert.de,Plauen,66433170,72.93
59,2021-01-07,Giesela Heß,F,lvan-der-dussen@googlemail.com,Melle,16906730,14.45
60,2021-06-15,Hans-Henning Löchel,F,tmuehle@gmx.de,Brandenburg,36562169,92.33
61,2021-03-30,Giorgio Kensy,M,ghermighausen@googlemail.com,Bernburg,80799573,70.61
62,2021-01-12,Ruben Zobel-Otto,M,klingelhoefertelse@aol.de,Eggenfelden,29604166,47.69
63,2021-05-27,Veronika Bachmann,M,lisaflantz@weiss.org,Delitzsch,80840855,16.13
64,2021-07-15,Eleni Winkler,F,alma38@schuster.com,Mayen,41148006,37.47
65,2021-04-22,Insa Christoph,M,thereszahn@schleich.com,Berchtesgaden,01545944,12.8
66,2021-01-28,Louis Briemer,M,faruk03@stiffel.de,Sömmerda,18798517,38.19
67,2021-07-01,Frau Fabienne Rudolph B.Sc.,F,isolde09@web.de,Tuttlingen,02437521,70.36
68,2021-05-31,Ing. Susann Hesse,M,nada34@googlemail.com,Ilmenau,79898270,3.8
69,2021-05-10,Prof. Käthe Pergande,F,claus-dieter50@gmail.com,Eisenberg,91785527,57.2
70,2021-02-07,Hans Josef Metz-Heydrich,M,susanne10@googlemail.com,Göppingen,59095996,63.81
71,2021-02-11,Elly Zobel-Kallert,F,okambs@gmail.com,Schongau,67355570,12.99
72,2021-03-15,Leo Girschner MBA.,F,dowergluciano@hotmail.de,Soltau,63642674,66.43
73,2021-07-05,Yilmaz Wesack,F,yflantz@holt.com,Viechtach,84518514,51.15
74,2021-03-12,Dr. Sybilla Knappe B.Eng.,F,shein@gmx.de,Wertingen,78157767,40.98
75,2021-07-31,Ing. Uta Schleich,M,gerlachhiltrud@rosemann.de,Gotha,03914366,26.54
76,2021-03-05,Moritz Kallert,M,tlustekmarten@hentschel.com,Gadebusch,30773103,90.86
77,2021-08-05,Florian Schmidt,M,qkade@aol.de,Neuss,43885909,5.31
78,2021-02-24,Reinhilde Bien B.A.,F,weimerkathi@hess.org,Bad Kreuznach,25967319,62.76
79,2021-06-17,Dragan Pruschke,F,benedikt47@soeding.de,Sankt Goarshausen,40686424,63.39
80,2021-07-01,Ing. Constance Täsche B.Sc.,M,loreruppersberger@mentzel.com,Meißen,21646225,4.74
81,2021-06-02,Herr Marco Hölzenbecher,F,jweller@nerger.com,Stollberg,52726156,56.94
82,2021-02-14,Stanislaus Freudenberger,F,heidrichelisabet@schaefer.de,Osterode am Harz,61183889,94.39
83,2021-07-31,Hedi Austermühle,F,hmartin@googlemail.com,Rudolstadt,11122494,79.58
84,2021-05-07,Constantin Söding-Losekann,F,thorbenschaaf@gmx.de,Ebermannstadt,88487281,13.26
85,2021-03-03,Frank-Peter Hermann,F,cneuschaefer@hethur.de,Finsterwalde,01760569,69.36
86,2021-08-02,Marie-Louise Beyer,F,ingolfmargraf@krebs.com,Günzburg,29237715,24.16
87,2021-04-07,Eduard Heintze-Etzold,M,kroskoth@hotmail.de,Eckernförde,21406942,74.81
88,2021-01-08,Rudi Henck,M,klemmroland@hotmail.de,Lüneburg,61895072,78.7
89,2021-04-02,Guenter Stadelmann,F,qseidel@aol.de,Vilsbiburg,93578493,88.54
90,2021-08-03,Jasmina Stroh,F,kargeradmila@wohlgemut.com,Burgdorf,47600294,69.3
91,2021-03-04,Dr. Nicolas Ernst,M,kasimir82@gmx.de,Wanzleben,99970284,24.88
92,2021-08-06,Kristina Wende,F,rkitzmann@suessebier.com,Saarlouis,78770942,92.68
93,2021-03-04,Mathias Fischer,F,olav09@seip.org,Hansestadttralsund,33725994,70.6
94,2021-02-02,Alwin Gehringer,M,whahn@gmail.com,Dresden,23098954,96.12
95,2021-03-04,Adelheid Häring,F,valeripreiss@aol.de,Eisenberg,00200462,23.12
96,2021-04-17,Mahmut Wohlgemut,M,timo79@steinberg.com,Backnang,58715017,29.77
97,2021-01-07,Nermin Junck,M,nielsspeer@gmail.com,Kassel,30349483,6.45
98,2021-01-19,Ing. Dorle Thies,M,mariechen28@gmail.com,Darmstadt,62320160,92.43
99,2021-08-07,Willibert Dowerg,M,xkoch@gmail.com,Uelzen,35530138,42.34
100,2021-04-29,Karl-Werner Geisler B.Eng.,F,wliebelt@aol.de,Neustadt am Rübenberge,38441189,6.76
101,2021-04-24,Ingeborg Killer B.Sc.,M,sschinke@gmx.de,Hansestadttralsund,39963567,81.21
102,2021-06-21,Dipl.-Ing. Sigrid Weinhold B.Eng.,F,khering@junken.de,Neustadt am Rübenberge,62313087,85.6
103,2021-03-18,Marijan Finke,F,schweitzeraugust@aol.de,Aschaffenburg,59345640,78.61
104,2021-01-02,Aloisia Trub,F,margaretharing@yahoo.de,Hansestadttralsund,27871195,52.59
105,2021-07-10,Mirjana Rogge,M,binnerlilija@eberth.de,Viechtach,36404490,45.4
106,2021-07-14,Stanislaw Trommler,F,milica23@beier.de,Wolgast,58776339,44.63
107,2021-01-18,Pia Geisler MBA.,F,konstanze57@henschel.de,Bitterfeld,51789718,53.13
108,2021-03-26,Wolfhard Grein Groth,F,ppergande@roht.com,Forchheim,15560445,3.34
109,2021-03-05,Saskia Karz MBA.,F,friedberttroest@meyer.de,Bersenbrück,83036613,20.85
110,2021-03-16,Otfried Barkholz,M,samizirme@hotmail.de,Dresden,97756125,37.44
111,2021-06-22,Ing. Viktoria Matthäi MBA.,F,nroehrdanz@steckel.org,Stadtsteinach,74277711,4.95
112,2021-04-06,Milan Berger,M,britt01@eigenwillig.org,Feuchtwangen,22239860,83.44
